Index,System Time,Channel,Direction,Frame ID,Data
522,15:20:02.683,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
523,15:20:02.701,ch1,R,0x0282,x| FE 33 2D FE FE 00 91 00
524,15:20:02.701,ch1,R,0x0152,x| 80 1C 00 00 00 00 00 C0
525,15:20:02.717,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
526,15:20:02.717,ch1,R,0x0152,x| 80 2C 00 00 00 00 00 C0
527,15:20:02.730,ch1,R,0x0442,x| 4D 12 00 00 00 00 00 00
528,15:20:02.730,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
529,15:20:02.746,ch1,R,0x0152,x| 80 3C 00 00 00 00 00 C0
530,15:20:02.746,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
531,15:20:02.759,ch1,R,0x0152,x| 80 4C 00 00 00 00 00 C0
532,15:20:02.759,ch1,R,0x0282,x| FE 43 2D FE FE 00 91 00
533,15:20:02.771,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
534,15:20:02.771,ch1,R,0x0284,x| 80 09 00 00 00 00 00 00
535,15:20:02.778,ch1,R,0x0152,x| 80 5C 00 00 00 00 00 C0
536,15:20:02.778,ch1,R,0x03d1,x| FF 1F 00 00 00 00 00 00
537,15:20:02.794,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
538,15:20:02.794,ch1,R,0x0152,x| 80 6C 00 00 00 00 00 C0
539,15:20:02.807,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
540,15:20:02.807,ch1,R,0x037a,x| 00 00 00 00 00 10 00 00
541,15:20:02.820,ch1,R,0x0282,x| FE 53 2D FE FE 00 91 00
542,15:20:02.820,ch1,R,0x0152,x| 80 7C 00 00 00 00 00 C0
543,15:20:02.833,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
544,15:20:02.834,ch1,R,0x044d,x| 40 02 00 00 00 00 00 00
545,15:20:02.850,ch1,R,0x0152,x| 80 8C 00 00 00 00 00 C0
546,15:20:02.851,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
547,15:20:02.861,ch1,R,0x0152,x| 80 9C 00 00 00 00 00 C0
548,15:20:02.861,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
549,15:20:02.870,ch1,R,0x0374,x| 08 00 00 01 00 20 00 00
550,15:20:02.870,ch1,R,0x0284,x| 80 0A 00 00 00 00 00 00
551,15:20:02.880,ch1,R,0x0152,x| 80 AC 00 00 00 00 00 C0
552,15:20:02.880,ch1,R,0x0282,x| FE 63 2D FE FE 00 91 00
553,15:20:02.889,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
554,15:20:02.889,ch1,R,0x0375,x| 03 01 00 04 00 00 00 10
555,15:20:02.902,ch1,R,0x03d1,x| FF 1F 00 00 00 00 00 00
556,15:20:02.902,ch1,R,0x0152,x| 80 BC 00 00 00 00 00 C0
557,15:20:02.917,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
558,15:20:02.917,ch1,R,0x0152,x| 80 CC 00 00 00 00 00 C0
559,15:20:02.927,ch1,R,0x0440,x| 42 02 00 00 00 00 00 00
560,15:20:02.927,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
561,15:20:02.940,ch1,R,0x0282,x| FE 73 2D FE FE 00 91 00
562,15:20:02.940,ch1,R,0x0152,x| 80 DC 00 00 00 00 00 C0
563,15:20:02.955,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
564,15:20:02.955,ch1,R,0x0152,x| 80 EC 00 00 00 00 00 C0
565,15:20:02.970,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
566,15:20:02.970,ch1,R,0x0284,x| 80 0B 00 00 00 00 00 00
567,15:20:02.984,ch1,R,0x0152,x| 80 FC 00 00 00 00 00 C0
568,15:20:02.984,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
569,15:20:02.991,ch1,R,0x063b,x| 00 00 23 93 00 03 59 03
570,15:20:02.991,ch1,R,0x0282,x| FE 83 2D FE FE 00 91 00
571,15:20:03.007,ch1,R,0x0152,x| 80 0C 00 00 00 00 00 C0
572,15:20:03.007,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
573,15:20:03.020,ch1,R,0x03d1,x| FF 1F 00 00 00 00 00 00
574,15:20:03.020,ch1,R,0x0152,x| 80 1C 00 00 00 00 00 C0
575,15:20:03.031,ch1,R,0x0442,x| 4D 12 00 00 00 00 00 00
576,15:20:03.031,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
577,15:20:03.046,ch1,R,0x0152,x| 80 2C 00 00 00 00 00 C0
578,15:20:03.046,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
579,15:20:03.059,ch1,R,0x0282,x| FE 93 2D FE FE 00 91 00
580,15:20:03.059,ch1,R,0x0152,x| 80 3C 00 00 00 00 00 C0
581,15:20:03.070,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
582,15:20:03.070,ch1,R,0x0284,x| 80 0C 00 00 00 00 00 00
583,15:20:03.086,ch1,R,0x0152,x| 80 4C 00 00 00 00 00 C0
584,15:20:03.086,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
585,15:20:03.102,ch1,R,0x0152,x| 80 5C 00 00 00 00 00 C0
586,15:20:03.102,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
587,15:20:03.117,ch1,R,0x0282,x| FE A3 2D FE FE 00 91 00
588,15:20:03.117,ch1,R,0x0152,x| 80 6C 00 00 00 00 00 C0
589,15:20:03.129,ch1,R,0x044d,x| 40 02 00 00 00 00 00 00
590,15:20:03.129,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
591,15:20:03.138,ch1,R,0x03d1,x| FF 1F 00 00 00 00 00 00
592,15:20:03.138,ch1,R,0x0152,x| 80 7C 00 00 00 00 00 C0
593,15:20:03.154,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
594,15:20:03.154,ch1,R,0x0152,x| 80 8C 00 00 00 00 00 C0
595,15:20:03.170,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
596,15:20:03.170,ch1,R,0x0284,x| 80 0D 00 00 00 00 00 00
597,15:20:03.179,ch1,R,0x0152,x| 80 9C 00 00 00 00 00 C0
598,15:20:03.179,ch1,R,0x0282,x| FE B3 2D FE FE 00 91 00
599,15:20:03.195,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
