Index,System Time,Channel,Direction,Frame ID,Data
246,4:14:00.203,ch1,R,0x0144,x| C0 00 48 08 05 A4 A0 00
247,4:14:00.203,ch1,R,0x00d0,x| D2 FF 00 00 00 00 01 00
248,4:14:00.203,ch1,R,0x00d1,x| 00 00 00 00
249,4:14:00.203,ch1,R,0x00d2,x| 00 00 FF FF 00 00 00 00
250,4:14:00.203,ch1,R,0x00d3,x| 00 06 C0 0F 00 00 E1
251,4:14:00.205,ch1,R,0x00d4,x| 00 00 00 00 00 00 00 00
252,4:14:00.205,ch1,R,0x0284,x| C0 0A 00 02 00 00 00 00
253,4:14:00.205,ch1,R,0x0018,x| 00 2A 70 0E 00 00 00 C8
254,4:14:00.205,ch1,R,0x0152,x| F0 1C 00 00 00 00 08 80
255,4:14:00.205,ch1,R,0x0140,x| 00 0C E2 42 00 00 07 21
256,4:14:00.207,ch1,R,0x0141,x| 84 26 75 27 D9 82 A7 00
257,4:14:00.207,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
258,4:14:00.207,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
259,4:14:00.207,ch1,R,0x0018,x| 00 2A 70 00 00 00 00 BA
260,4:14:00.207,ch1,R,0x0280,x| 02 0E 00 00 00 00 00 00
261,4:14:00.207,ch1,R,0x0372,x| 00 B0 00 00 00 00 00 00
262,4:14:00.207,ch1,R,0x0140,x| 00 0D E2 42 00 00 07 21
263,4:14:00.207,ch1,R,0x0141,x| 84 26 75 27 D9 82 A7 00
264,4:14:00.207,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
265,4:14:00.207,ch1,R,0x0144,x| C0 00 48 08 05 A4 A0 00
266,4:14:00.207,ch1,R,0x00d0,x| D2 FF 00 00 00 00 00 00
267,4:14:00.207,ch1,R,0x00d1,x| 00 00 00 00
268,4:14:00.207,ch1,R,0x00d2,x| 00 00 FF FF 00 00 00 00
269,4:14:00.207,ch1,R,0x00d3,x| 00 06 C0 0F 00 00 E2
270,4:14:00.207,ch1,R,0x00d4,x| 00 00 00 00 00 00 00 00
271,4:14:00.207,ch1,R,0x0018,x| 00 2A 70 02 00 00 00 BC
272,4:14:00.207,ch1,R,0x0152,x| F0 2C 00 00 00 00 08 80
273,4:14:00.207,ch1,R,0x0140,x| 00 0E E2 42 00 00 07 21
274,4:14:00.207,ch1,R,0x0141,x| 84 26 75 27 D9 82 A7 00
275,4:14:00.207,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
276,4:14:00.207,ch1,R,0x0360,x| F3 00 81 81 31 00 01 00
277,4:14:00.207,ch1,R,0x0361,x| 00 29 00 DB 0A 80 80 3F
278,4:14:00.207,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
279,4:14:00.207,ch1,R,0x0018,x| 00 2A 70 04 00 00 00 BE
280,4:14:00.207,ch1,R,0x0280,x| 02 0F 00 00 00 00 00 00
281,4:14:00.207,ch1,R,0x0370,x| 00 00 00 00 00 0D 00 00
282,4:14:00.207,ch1,R,0x0140,x| 00 0F DE 42 00 00 07 21
283,4:14:00.207,ch1,R,0x0141,x| 84 26 75 27 D9 82 A7 00
284,4:14:00.207,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
285,4:14:00.207,ch1,R,0x0144,x| C0 00 48 08 05 A4 A0 00
286,4:14:00.207,ch1,R,0x00d0,x| D2 FF 00 00 00 00 01 00
287,4:14:00.207,ch1,R,0x00d1,x| 00 00 00 00
288,4:14:00.207,ch1,R,0x00d2,x| 00 00 FF FF 00 00 00 00
289,4:14:00.207,ch1,R,0x00d3,x| 00 06 C0 0F 00 00 E3
290,4:14:00.207,ch1,R,0x00d4,x| 00 00 00 00 00 00 00 00
291,4:14:00.207,ch1,R,0x0282,x| D2 E1 FA 89 99 00 91 00
292,4:14:00.207,ch1,R,0x0018,x| 00 2A 70 06 00 00 00 C0
293,4:14:00.207,ch1,R,0x0152,x| F0 3C 00 00 00 00 08 80
294,4:14:00.207,ch1,R,0x0140,x| 00 00 DE 42 00 00 06 21
